Name,Description
Sankalp Rehabilitation Trust,health urban maharashtra hiv homeless migrants prisoners urban poor
SANSKRUTI FOUNDATION,social services urban rural all india animal lovers animals birds beggars blood donors children commercial sex workers construction workers disaster affected
Sarathi Development Foundation,social services urban rural all india adolescents children girl child hiv rural poor scavengers human slum dwellers truckers volunteers women youth
Service Agency for Rural Women and Children (SARWC),social services urban rural karnataka juvenile mentally challenged rural poor
Satya Special School,social services urban rural puducherry mentally challenged
Service Initiative for Voluntary Action Trust,social services rural tamil nadu adolescents adults children dalits factory workers girl child rural poor scavengers human slum dwellers street children students teachers tribals women youth
SHIKSHA SADBHAWNA WELFARE JAMIYA SAFIYA LILBANAT SAMITI,education and research urban rural uttar pradesh children girl child ngos orphans rural poor teachers tribals women
SHIRDI SAI BABA TEMPLE SOCIETY,education and research urban rural all india adolescents adults blood donors children girl child hiv orphans patients physically challenged rural poor slum dwellers street children students teachers women youth
Shree Amrutvahini Gramvikas Mandal,health urban rural maharashtra children hiv homeless mentally challenged migrants orphans physically challenged rural poor street children
Shri Arbuda Residential Welfare Association,social services urban rural all india accident victims adults artists beggars blood donors children commercial sex workers construction workers disaster affected displaced persons domestic workers elderly ethnic groups factory workers farmers farm labourers firemen freedom fighters girl child healthcare workers hiv homeless juvenile legal workers lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos organ donors orphans patients physically challenged plants policemen porters prisoners refugees rickshawallahs drivers rural poor salt workers scavengers human slum dwellers sportspersons street children students teachers tribals truckers urban poor volunteers war victims weavers women youth
SISU VIKAS SAMITI,social services urban rural odisha children
Foundation of Arts for Social Change in India,education and research urban rural all india adolescents artists children juvenile slum dwellers students
"SNEHA (Society for Nutrition, Education and Health Action)",health urban maharashtra adolescents children girl child slum dwellers urban poor women youth
Snehalaya,social services urban rural maharashtra adolescents adults children commercial sex workers farmers farm labourers girl child hiv lesbian gays bisexuals transgender migrants orphans slum dwellers street children students urban poor women youth
Social Activities for Rural Development Society,social services urban rural andhra pradesh children women
Social Organisation for Voluntary Action (SOVA),social services urban rural tamil nadu adults
Society for Animal Health Agriculture Science and Humanity,social services urban rural andhra pradesh animals birds children elderly girl child rickshawallahs drivers rural poor street children tribals women youth
Society for Community Action Network-India,social services urban rural andhra pradesh adolescents adults children chronically ill construction workers dalits displaced persons farmers farm labourers girl child healthcare workers hiv homeless migrants ngos orphans patients physically challenged plants rural poor slum dwellers street children students tribals urban poor volunteers women youth
SST - Society for Social Transformation,social services urban rural andhra pradesh adolescents adults children commercial sex workers elderly farmers farm labourers girl child hiv legal workers orphans physically challenged rural poor slum dwellers street children students tribals urban poor women youth
Society for the Promotion of Women and Child Welfare,education and research urban rural haryana urban poor women
Society of Parents of Children with Autistic Disorders (SOPAN),education and research urban maharashtra children
SPARSHA CHARITABLE TRUST,education and research urban maharashtra adults children domestic workers girl child migrants slum dwellers street children students teachers urban poor women youth
